StudyID,Age,Gender,StorybookVersion,DelayCondition,Trial,Animal,TrialAccuracy,Begin,End,ReactionTime,Answer,AnswerType,sumaccuracy,trialamount,OverallAccuracy
AMP106,5.945205479,M,1,1,3,pig,1,10184.4,10190.51,5.10995,mountain,correct,8,8,1
AMP106,5.945205479,M,1,1,4,dog,1,10197.08,10201.26,3.177988,beach,correct,8,8,1
AMP106,5.945205479,M,1,1,5,cow,1,10207.86,10211.03,2.165096,bedroom,correct,8,8,1
AMP106,5.945205479,M,1,1,6,sheep,1,10219.1,10222.57,2.469706,car,correct,8,8,1
AMP106,5.945205479,M,1,1,7,bear,1,10230.65,10235.64,3.998167,pool,correct,8,8,1
AMP106,5.945205479,M,1,1,8,monkey,1,10243.75,10248.57,3.817567,candy,correct,8,8,1
AMP021,4.64109589,F,3,1,1,bear,1,13187.57,13194.91,6.337678,castle,correct,8,8,1
AMP021,4.64109589,F,3,1,2,monkey,1,13203.05,13208.61,4.567721,subway,correct,8,8,1
AMP021,4.64109589,F,3,1,3,pig,1,13215.23,13220.79,4.557958,baseball,correct,8,8,1
AMP021,4.64109589,F,3,1,4,dog,1,13227.34,13231.78,3.442283,bouncehouse,correct,8,8,1
AMP021,4.64109589,F,3,1,5,lion,1,13239.9,13245.04,4.143195,movie,correct,8,8,1
AMP021,4.64109589,F,3,1,6,cat,1,13253.16,13258.8,4.63452,museum,correct,8,8,1
AMP021,4.64109589,F,3,1,7,cow,1,13266.94,13272.77,4.837374,basketball,correct,8,8,1
AMP021,4.64109589,F,3,1,8,sheep,1,13280.95,13285.37,3.41401,bowling,correct,8,8,1
AMP077,5,M,4,1,1,monkey,1,4430.607,4436.304,4.696294,bouncehouse,correct,8,8,1
AMP077,5,M,4,1,2,sheep,1,4444.459,4449.663,4.203637,basketball,correct,8,8,1
AMP077,5,M,4,1,3,dog,1,4457.85,4463.273,4.422705,bowling,correct,8,8,1
AMP077,5,M,4,1,4,cow,1,4469.91,4479.25,8.33918,castle,correct,8,8,1
AMP077,5,M,4,1,5,pig,1,4487.443,4492.275,3.831438,tent,correct,8,8,1
AMP077,5,M,4,1,6,cat,1,4498.875,4503.582,3.706839,baseball,correct,8,8,1
AMP077,5,M,4,1,7,lion,1,4511.851,4517.125,4.273422,barn,correct,8,8,1
AMP077,5,M,4,1,8,bear,1,4525.278,4529.333,3.054686,museum,correct,8,8,1
AMP080,3.063013699,M,1,1,1,bear,1,23767.33,23780.34,12.00769,pool,correct,7,8,0.875
AMP080,3.063013699,M,1,1,2,monkey,1,23788.49,23794.45,4.954122,candy,correct,7,8,0.875
AMP080,3.063013699,M,1,1,3,pig,1,23801.06,23809.12,7.063943,mountain,correct,7,8,0.875
AMP080,3.063013699,M,1,1,4,dog,0,23815.71,23826.13,9.420971,movie,foil,7,8,0.875
AMP080,3.063013699,M,1,1,5,lion,1,23832.76,23838.21,4.450421,grocery,correct,7,8,0.875
AMP080,3.063013699,M,1,1,6,cat,1,23846.31,23852.22,4.906163,library,correct,7,8,0.875
AMP080,3.063013699,M,1,1,7,cow,1,23860.34,23866.38,5.036733,bedroom,correct,7,8,0.875
AMP080,3.063013699,M,1,1,8,sheep,1,23874.46,23879.14,3.672906,car,correct,7,8,0.875
AMP127,5.550684932,F,2,1,1,bear,0,77391.51,77396.27,3.753057,car,incorrect2,6,8,0.75
AMP127,5.550684932,F,2,1,2,sheep,1,77404.37,77412.58,7.203968,bedroom,correct,6,8,0.75
AMP127,5.550684932,F,2,1,3,lion,1,77420.69,77426.24,4.54857,street,correct,6,8,0.75
AMP127,5.550684932,F,2,1,4,pig,1,77434.3,77442.46,7.168819,playground,correct,6,8,0.75
AMP127,5.550684932,F,2,1,5,dog,0,77450.59,77469.15,17.55668,baseball,foil,6,8,0.75
AMP127,5.550684932,F,2,1,6,monkey,1,77477.27,77481.41,3.137867,beach,correct,6,8,0.75
AMP127,5.550684932,F,2,1,7,cow,1,77489.56,77499.32,8.756891,pool,correct,6,8,0.75
AMP127,5.550684932,F,2,1,8,cat,1,77507.4,77513.55,5.150219,mountain,correct,6,8,0.75
AMP059,5.82739726,F,3,1,1,cow,1,193552.5,193557.9,4.420316,basketball,correct,6,8,0.75
AMP059,5.82739726,F,3,1,2,sheep,0,193566.1,193571.9,4.806032,bouncehouse,incorrect2,6,8,0.75
AMP059,5.82739726,F,3,1,3,lion,1,193580,193585.1,4.031188,movie,correct,6,8,0.75
AMP059,5.82739726,F,3,1,4,pig,0,193593.2,193599.2,5.014665,museum,incorrect1,6,8,0.75
AMP059,5.82739726,F,3,1,5,monkey,1,193607.4,193611.5,3.169836,subway,correct,6,8,0.75
AMP059,5.82739726,F,3,1,6,cat,1,193619.7,193627,6.384753,museum,correct,6,8,0.75
AMP059,5.82739726,F,3,1,7,bear,1,193635.3,193643.7,7.440119,castle,correct,6,8,0.75
AMP059,5.82739726,F,3,1,8,dog,1,193651.8,193659.2,6.407298,bouncehouse,correct,6,8,0.75
AMP025,3.517808219,F,4,1,1,sheep,1,195325,195339.1,13.05346,basketball,correct,4,8,0.5
AMP025,3.517808219,F,4,1,2,pig,0,195347.2,195401.8,53.59409,bouncehouse,incorrect2,4,8,0.5
AMP025,3.517808219,F,4,1,3,dog,0,195409.9,195475.1,64.19915,baseball,incorrect2,4,8,0.5
AMP025,3.517808219,F,4,1,4,cat,0,195483.2,195502.5,18.23171,bowling,incorrect2,4,8,0.5
AMP025,3.517808219,F,4,1,5,cow,0,195510.6,195528.4,16.76684,basketball,incorrect1,4,8,0.5
AMP025,3.517808219,F,4,1,6,monkey,1,195536.5,195540.9,3.377916,bouncehouse,correct,4,8,0.5
AMP025,3.517808219,F,4,1,7,bear,1,195549.1,195567.7,17.60455,museum,correct,4,8,0.5
AMP025,3.517808219,F,4,1,8,lion,1,195575.9,195588,11.10143,barn,correct,4,8,0.5
AMP032,5.824657534,F,1,1,1,sheep,0,9566.589,9574.772,7.181346,grocery,incorrect2,6,8,0.75
AMP032,5.824657534,F,1,1,2,cat,1,9582.877,9587.514,3.635883,library,correct,6,8,0.75
AMP032,5.824657534,F,1,1,3,cow,0,9595.616,9603.357,6.739825,castle,foil,6,8,0.75
AMP032,5.824657534,F,1,1,4,lion,1,9611.461,9615.482,3.02014,grocery,correct,6,8,0.75
AMP032,5.824657534,F,1,1,5,bear,1,9622.113,9626.455,3.341759,pool,correct,6,8,0.75
AMP032,5.824657534,F,1,1,6,monkey,1,9634.581,9638.83,3.248979,candy,correct,6,8,0.75
AMP032,5.824657534,F,1,1,7,dog,1,9646.917,9651.339,3.421694,beach,correct,6,8,0.75
AMP032,5.824657534,F,1,1,8,pig,1,9659.492,9665.081,4.588837,mountain,correct,6,8,0.75
AMP105,3.863013699,F,2,1,1,sheep,1,8382.71,8401.4,17.68963,bedroom,correct,8,8,1
AMP105,3.863013699,F,2,1,2,bear,1,8409.586,8415.893,5.306204,library,correct,8,8,1
AMP105,3.863013699,F,2,1,3,monkey,1,8424.063,8430.369,5.305586,beach,correct,8,8,1
AMP105,3.863013699,F,2,1,4,cat,1,8438.475,8445.729,6.25372,mountain,correct,8,8,1
AMP105,3.863013699,F,2,1,5,lion,1,8452.385,8457.537,4.151924,street,correct,8,8,1
AMP105,3.863013699,F,2,1,6,cow,1,8465.707,8472.481,5.773772,pool,correct,8,8,1
AMP105,3.863013699,F,2,1,7,pig,1,8480.56,8487.274,5.713198,playground,correct,8,8,1
AMP105,3.863013699,F,2,1,8,dog,1,8495.388,8502.684,6.295876,car,correct,8,8,1
AMP103,5.775342466,F,3,1,1,monkey,1,21249.07,21261.36,11.28894,subway,correct,8,8,1
AMP103,5.775342466,F,3,1,2,cat,1,21269.49,21275.47,4.979338,museum,correct,8,8,1
AMP103,5.775342466,F,3,1,3,lion,1,21283.59,21291,6.408905,movie,correct,8,8,1
AMP103,5.775342466,F,3,1,4,pig,1,21297.64,21301.41,2.768396,baseball,correct,8,8,1
AMP103,5.775342466,F,3,1,5,dog,1,21309.46,21318.25,7.788344,bouncehouse,correct,8,8,1
AMP103,5.775342466,F,3,1,6,bear,1,21326.38,21328.92,1.544289,castle,correct,8,8,1
AMP103,5.775342466,F,3,1,7,sheep,1,21337.07,21345.03,6.962535,bowling,correct,8,8,1
AMP103,5.775342466,F,3,1,8,cow,1,21353.16,21361.91,7.754352,basketball,correct,8,8,1
AMP065,5.21369863,F,4,1,1,lion,0,3934.258,3939.508,4.249884,castle,incorrect1,6,8,0.75
AMP065,5.21369863,F,4,1,2,monkey,1,3946.188,3953.75,6.561631,bouncehouse,correct,6,8,0.75
AMP065,5.21369863,F,4,1,3,cat,1,3961.957,3968.644,5.68651,baseball,correct,6,8,0.75
AMP065,5.21369863,F,4,1,4,cow,1,3976.835,3983.554,5.719205,castle,correct,6,8,0.75
AMP065,5.21369863,F,4,1,5,dog,1,3991.73,4000.416,7.685626,bowling,correct,6,8,0.75
AMP065,5.21369863,F,4,1,6,bear,1,4008.649,4015.459,5.809436,museum,correct,6,8,0.75
AMP065,5.21369863,F,4,1,7,pig,1,4023.635,4027.917,3.281783,tent,correct,6,8,0.75
AMP065,5.21369863,F,4,1,8,sheep,0,4034.654,4042.494,6.839168,bouncehouse,incorrect1,6,8,0.75
AMP042,5.706849315,F,1,1,1,cat,1,6203.112,6207.896,3.783945,library,correct,8,8,1
AMP042,5.706849315,F,1,1,2,monkey,1,6216.012,6220.438,3.425461,candy,correct,8,8,1
AMP042,5.706849315,F,1,1,3,cow,1,6228.522,6233.197,3.674493,bedroom,correct,8,8,1
AMP042,5.706849315,F,1,1,4,pig,1,6241.303,6245.571,3.267652,mountain,correct,8,8,1
AMP042,5.706849315,F,1,1,5,bear,1,6252.186,6256.729,3.542015,pool,correct,8,8,1
AMP042,5.706849315,F,1,1,6,sheep,1,6264.812,6269.637,3.825387,car,correct,8,8,1
AMP042,5.706849315,F,1,1,7,lion,1,6277.733,6281.779,3.045875,grocery,correct,8,8,1
AMP042,5.706849315,F,1,1,8,dog,1,6289.851,6292.986,2.134589,beach,correct,8,8,1
AMP007,5.41369863,F,2,1,1,dog,1,12399.15,12403.7,3.553502,car,correct,5,8,0.625
AMP007,5.41369863,F,2,1,2,pig,1,12411.82,12418.63,5.807184,playground,correct,5,8,0.625
AMP007,5.41369863,F,2,1,3,lion,1,12426.75,12432.7,4.955202,street,correct,5,8,0.625
AMP007,5.41369863,F,2,1,4,cat,1,12440.84,12454.32,12.48191,mountain,correct,5,8,0.625
AMP007,5.41369863,F,2,1,5,monkey,0,12460.98,12469.35,7.369426,pool,incorrect2,5,8,0.625
AMP007,5.41369863,F,2,1,6,sheep,1,12477.45,12493.95,15.50024,bedroom,correct,5,8,0.625
AMP007,5.41369863,F,2,1,7,cow,0,12502.12,12508.91,5.788801,movie,foil,5,8,0.625
AMP007,5.41369863,F,2,1,8,bear,0,12517.11,12523.18,5.069699,bouncehouse,foil,5,8,0.625
AMP010,5.769863014,F,3,1,1,cat,1,2636.443,2641.195,3.751262,museum,correct,8,8,1
AMP010,5.769863014,F,3,1,2,pig,1,2649.32,2656.523,6.202076,baseball,correct,8,8,1
AMP010,5.769863014,F,3,1,3,sheep,1,2663.233,2670.782,6.548688,bowling,correct,8,8,1
AMP010,5.769863014,F,3,1,4,cow,1,2678.928,2683.524,3.595853,basketball,correct,8,8,1
AMP010,5.769863014,F,3,1,5,lion,1,2691.653,2697.15,4.495673,movie,correct,8,8,1
AMP010,5.769863014,F,3,1,6,dog,1,2705.261,2711.909,5.647973,bouncehouse,correct,8,8,1
AMP010,5.769863014,F,3,1,7,monkey,1,2720.03,2725.802,4.771851,subway,correct,8,8,1
AMP010,5.769863014,F,3,1,8,bear,1,2733.937,2738.461,3.523561,castle,correct,8,8,1
AMP110,4.969863014,M,1,1,1,cat,1,5405.23,5409.781,3.550243,library,correct,7,8,0.875
AMP110,4.969863014,M,1,1,2,dog,1,5417.865,5422.807,3.941713,beach,correct,7,8,0.875
AMP110,4.969863014,M,1,1,3,lion,1,5429.431,5439.068,8.636325,grocery,correct,7,8,0.875
AMP110,4.969863014,M,1,1,4,cow,1,5445.677,5451.91,5.231676,bedroom,correct,7,8,0.875
AMP110,4.969863014,M,1,1,5,bear,1,5460.057,5464.985,3.927253,pool,correct,7,8,0.875
AMP110,4.969863014,M,1,1,6,monkey,1,5473.138,5477.376,3.23801,candy,correct,7,8,0.875
AMP110,4.969863014,M,1,1,7,sheep,0,5485.464,5503.027,16.56238,library,incorrect1,7,8,0.875
AMP110,4.969863014,M,1,1,8,pig,1,5511.132,5516.419,4.287347,mountain,correct,7,8,0.875
AMP134,3.24109589,F,2,1,1,monkey,1,6932.715,6940.276,6.561219,beach,correct,7,8,0.875
AMP134,3.24109589,F,2,1,2,lion,0,6948.422,6958.606,9.183283,bedroom,incorrect1,7,8,0.875
AMP134,3.24109589,F,2,1,3,bear,1,6966.778,6973.048,5.269673,library,correct,7,8,0.875
AMP134,3.24109589,F,2,1,4,cow,1,6981.222,6987.158,4.9351,pool,correct,7,8,0.875
AMP134,3.24109589,F,2,1,5,pig,1,6995.259,7000.667,4.4078,playground,correct,7,8,0.875
AMP134,3.24109589,F,2,1,6,dog,1,7008.761,7018.096,8.334541,car,correct,7,8,0.875
AMP134,3.24109589,F,2,1,7,sheep,1,7024.736,7034.758,9.020709,bedroom,correct,7,8,0.875
AMP134,3.24109589,F,2,1,8,cat,1,7042.866,7052.352,8.484963,mountain,correct,7,8,0.875
AMP076,4.838356164,M,3,1,1,dog,0,68667.42,68674.82,6.408561,pool,foil,7,8,0.875
